site,longitude,latitude,replicate,date_MM/DD/YY,waypoint_name,n_otter,,
Big Clam Bay,-132.967041,55.194569,1,07/18/18,WP0010,1,,
Big Tree Bay,-133.170975,55.567959,1,07/19/18,WP0015,1,,
Big Tree Bay,-133.219879,55.576103,1,07/19/18,WP0016,2,,
Big Tree Bay,-133.226151,55.570789,1,07/19/18,WP0019,1,,
Big Tree Bay,-133.232025,55.572781,1,07/19/18,WP0020,1,,
Big Tree Bay,-133.165192,55.57848,1,07/19/18,WP0021,3,,
Big Tree Bay,-133.173508,55.588394,1,07/19/18,WP0025,1,,
Big Tree Bay,-133.244919,55.571785,1,07/19/18,WP0028,13,,
Big Tree Bay,-133.170029,55.574501,1,07/19/18,WP0030,1,,
Big Tree Bay,-133.175156,55.572773,1,07/19/18,WP0031,1,,
Big Tree Bay,-133.183716,55.571629,1,07/19/18,WP0032,12,,
Big Tree Bay,-133.181015,55.567612,1,07/19/18,WP0033,2,,
Big Tree Bay,-133.243057,55.56657,1,07/19/18,WP0034,2,,
Big Tree Bay,-133.189819,55.559155,1,07/19/18,WP0035,1,,
Big Tree Bay,-133.192719,55.565865,1,07/19/18,WP0036,1,,
Big Tree Bay,-133.212662,55.55822,1,07/19/18,WP0037,1,,
Big Tree Bay,-133.215088,55.56123,1,07/19/18,WP0038,1,,
Big Tree Bay,-133.212616,55.569893,1,07/19/18,WP0039,1,,
Big Tree Bay,-133.196045,55.574162,1,07/19/18,WP0040,1,,
Big Tree Bay,-133.199753,55.582283,1,07/19/18,WP0041,1,,
Big Tree Bay,-133.202423,55.584126,1,07/19/18,WP0042,1,,
Big Tree Bay,-133.208405,55.5812,1,07/19/18,WP0043,1,,
Big Tree Bay,-133.201263,55.586983,1,07/19/18,WP0044,2,,
Big Tree Bay,-133.208817,55.576889,1,07/19/18,WP0045,2,,
Big Tree Bay,-133.219284,55.574028,1,07/19/18,WP0046,5,,
Big Tree Bay,-133.237595,55.565556,1,07/19/18,WP0047,2,,
Big Tree Bay,-133.234863,55.563068,1,07/19/18,WP0049,1,,
Big Tree Bay,-133.22821,55.561779,1,07/19/18,WP0050,1,,
Big Tree Bay,-133.229706,55.560097,1,07/19/18,WP0052,2,,
Big Tree Bay,-133.225113,55.558842,1,07/19/18,WP0053,5,,
Big Tree Bay,-133.245392,55.562546,1,07/19/18,WP0054,1,,
Blanquizal Bay,-133.38649,55.613934,1,06/25/18,WP0001,1,,
Blanquizal Bay,-133.40889,55.615826,1,06/25/18,WP0002,1,,
Blanquizal Bay,-133.435638,55.631531,1,06/25/18,WP0003,36,,
Blanquizal Bay,-133.432663,55.637405,1,06/25/18,WP0004,1,,
Blanquizal Bay,-133.407501,55.61681,1,06/25/18,WP0005,1,,
Blanquizal Bay,-133.407852,55.621155,1,06/25/18,WP0006,1,,
Blanquizal Bay,-133.398987,55.627777,1,06/25/18,WP0007,4,,
Blanquizal Bay,-133.40657,55.628536,1,06/25/18,WP0008,3,,
Blanquizal Bay,-133.404953,55.638103,1,06/25/18,WP0009,1,,
Blanquizal Bay,-133.403946,55.635418,1,06/25/18,WP0010,1,,
Blanquizal Bay,-133.410248,55.643497,1,06/25/18,WP0011,1,,
Blanquizal Bay,-133.410156,55.646755,1,06/25/18,WP0012,1,,
Chusini,-133.198334,55.830921,1,06/07/18,WP0002,1,,
Chusini,-133.190964,55.814926,1,06/07/18,WP0003,31,,
Chusini,-133.186447,55.816231,1,06/07/18,WP0004,3,,
Chusini,-133.182419,55.818256,1,06/07/18,WP0005,1,,
Chusini,-133.178497,55.814758,1,06/07/18,WP0006,3,,
Chusini,-133.17923,55.816265,1,06/07/18,WP0007,1,,
Chusini,-133.178818,55.816895,1,06/07/18,WP0008,1,,
Chusini,-133.176697,55.812908,1,06/07/18,WP0009,2,,
Chusini,-133.174576,55.811142,1,06/07/18,WP0010,1,,
Chusini,-133.183426,55.820961,1,06/07/18,WP0011,3,,
Chusini,-133.182999,55.818676,1,06/07/18,WP0012,1,,
Chusini,-133.181885,55.821598,1,06/07/18,WP0013,2,,
Chusini,-133.190613,55.825981,1,06/07/18,WP0014,2,,
Chusini,-133.182327,55.829708,1,06/07/18,WP0015,10,,
Chusini,-133.20137,55.830521,1,06/07/18,WP0016,1,,
Chusini,-133.204468,55.836777,1,06/07/18,WP0017,1,,
Chusini,-133.199829,55.836849,1,06/07/18,WP0018,3,,
Chusini,-133.197067,55.836983,1,06/07/18,WP0019,2,,
Chusini,-133.195328,55.83736,1,06/07/18,WP0020,3,,
Chusini,-133.194687,55.837616,1,06/07/18,WP0021,2,,
Chusini,-133.184769,55.833118,1,06/07/18,WP0022,9,,
Chusini,-133.168945,55.834564,1,06/07/18,WP0023,1,,
Chusini,-133.175385,55.832047,1,06/07/18,WP0024,1,,
Chusini,-133.189606,55.814598,1,06/07/18,WP0025,8,,
Dunbar Inlet,-132.866409,55.07901,1,07/24/18,WP0002,2,,
Dunbar Inlet,-132.864655,55.067772,1,07/24/18,WP0003,1,,
Dunbar Inlet,-132.8517,55.080021,1,07/24/18,WP0004,1,,
Dunbar Inlet,-132.847565,55.076439,1,07/24/18,WP0005,1,,
Dunbar Inlet,-132.822647,55.082912,1,07/24/18,WP0006,1,,
Garcia Cove,-133.408615,55.571144,1,05/23/18,WP0011,1,,
Garcia Cove,-133.417526,55.572372,1,05/23/18,WP0013,1,,
Garcia Cove,-133.436829,55.573215,1,05/23/18,WP0014,1,,
Garcia Cove,-133.42598,55.569866,1,05/23/18,WP0015,1,,
Garcia Cove,-133.430984,55.563629,1,05/23/18,WP0016,1,,
Garcia Cove,-133.434387,55.561798,1,05/23/18,WP0017,1,,
Garcia Cove,-133.441254,55.563274,1,05/23/18,WP0018,1,,
Garcia Cove,-133.447556,55.56382,1,05/23/18,WP0019,1,,
Garcia Cove,-133.446381,55.564392,1,05/23/18,WP0020,1,,
Garcia Cove,-133.451477,55.565678,1,05/23/18,WP0021,23,,
Garcia Cove,-133.448288,55.569313,1,05/23/18,WP0022,1,,
Garcia Cove,-133.457382,55.56546,1,05/23/18,WP0023,2,,
Garcia Cove,-133.456207,55.558716,1,05/23/18,WP0024,1,,
Garcia Cove,-133.457825,55.557762,1,05/23/18,WP0025,2,,
Garcia Cove,-133.460007,55.558914,1,05/23/18,WP0026,1,,
